"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Aiden Young",2007-04-18,"LW","Saginaw Spirit",4,1,2,3,0.75,0,1,0,0,0,2
"Carson Cameron",2007-06-27,"D","Peterborough Petes",4,1,2,3,0.75,1,0,2,1,0,4
"Carson Woodall",2006-05-25,"D","Windsor Spitfires",5,1,2,3,0.6,-1,1,2,0,0,4
"Kieran Witkowski",2007-02-07,"LW","Mississauga Steelheads",6,1,2,3,0.5,-1,0,0,1,0,0
"Lane Sim",2007-05-09,"LW","Sarnia Sting",5,1,2,3,0.6,0,1,0,0,0,0
"Luca Romano",2007-06-25,"RW","Kitchener Rangers",6,1,2,3,0.5,2,0,1,0,0,4
"Luke Ellinas",2006-03-12,"LW","Kitchener Rangers",6,1,2,3,0.5,3,0,0,0,0,0
"Parker Snelgrove",2007-01-20,"C","Guelph Storm",6,0,3,3,0.5,-1,0,0,0,0,0
"Charlie Hilton",2006-09-15,"LW","Ottawa 67's",4,2,0,2,0.5,-1,1,0,0,1,9
"Nic Whitehead",2007-02-11,"C","Ottawa 67's",4,2,0,2,0.5,0,0,0,0,0,0
"Shamar Moses",2007-05-06,"RW","Barrie Colts",4,2,0,2,0.5,-3,1,0,0,0,0
"Brett Hammond",2006-09-08,"RW","Erie Otters",6,1,1,2,0.33,-2,0,0,0,0,2
"Dylan Richter",2006-07-11,"C","North Bay Battalion",4,1,1,2,0.5,2,0,0,0,0,0
"Ethan Toms",2006-01-19,"C","Oshawa Generals",4,1,1,2,0.5,-9,0,0,0,0,6
"Harry Nansi",2007-09-10,"C","Owen Sound Attack",4,1,1,2,0.5,1,0,0,0,0,0
"Jack Nesbitt",2007-01-12,"C","Windsor Spitfires",5,1,1,2,0.4,-6,0,0,0,0,6
"Josh Brady",2006-01-11,"D","Ottawa 67's",3,1,1,2,0.67,0,1,0,0,0,0
"MacGregor Richmond",2006-08-06,"RW","Mississauga Steelheads",6,1,1,2,0.33,-3,0,0,0,0,2
"Rowan Topp",2006-04-02,"D","Guelph Storm",4,1,1,2,0.5,1,0,0,0,0,0
"Wesley Royston",2007-11-22,"RW","Erie Otters",6,1,1,2,0.33,-1,0,0,0,1,2
"Ben Radley",2007-07-29,"D","Brantford Bulldogs",5,0,2,2,0.4,1,0,0,0,0,2
"Dylan Woulds",2006-03-28,"D","Peterborough Petes",5,0,2,2,0.4,-1,0,0,0,0,2
"Ethan Czata",2007-05-29,"C","Niagara IceDogs",5,0,2,2,0.4,-1,0,0,0,0,0
"James Barr",2007-06-01,"D","Sarnia Sting",5,0,2,2,0.4,4,0,0,0,0,6
"Luke Dragusica",2007-02-16,"D","Mississauga Steelheads",6,0,2,2,0.33,3,0,0,0,0,9
"Michael Lavigne",2007-01-17,"D","Windsor Spitfires",3,0,2,2,0.67,2,0,0,0,0,0
"Nathan Omeri",2006-06-15,"D","Sarnia Sting",4,0,2,2,0.5,2,0,1,0,0,2
"Owen Protz",2006-02-07,"D","Sudbury Wolves",4,0,2,2,0.5,-3,0,2,0,0,2
"Wil McFadden",2007-02-15,"C","Guelph Storm",6,0,2,2,0.33,-2,0,1,0,0,0
