"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Jason Robertson","YES",19,1999-07-22,1999,"6.02",200,"LW","Kingston Frontenacs",4,1,1,2,0.5,1,0,0,0,0,0,0,0,0,2,1
"Mads Eller","NO",24,1995-06-25,1995,"6.01",204,"LW","Windsor Spitfires",5,1,1,2,0.4,-1,0,0,0,0,0,0,0,0,4,1
"Lukas Lofquist","NO",27,1996-01-16,1996,"6.02",192,"LW","Oshawa Generals",5,1,1,2,0.4,-4,1,1,2,0,0,0,0,0,0,1
"Jonah Gadjovich","NO",21,1998-10-12,1998,"6.02",201,"LW","Owen Sound Attack",6,1,1,2,0.33,-2,1,1,2,0,0,0,0,0,6,1
"Max Jones","YES",49,1998-02-17,1998,"6.03",210,"LW","London Knights",6,1,1,2,0.33,2,0,0,0,0,0,0,0,0,23,1
"Patrick White","NO",15,1996-02-13,1996,"5.11",196,"LW","Sarnia Sting",6,1,1,2,0.33,1,0,0,0,0,0,0,1,0,4,1
"Damian Bourne","NO",21,1996-02-11,1996,"6.04",220,"LW","Mississauga Steelheads",7,1,1,2,0.29,-2,0,0,0,0,0,0,0,0,4,1
"Brandon Lindberg","NO",12,1996-09-24,1996,"6.00",209,"C","Sarnia Sting",7,1,1,2,0.29,-3,0,0,0,1,1,2,0,0,8,1
"Daniel Nikandrov","NO",20,1995-02-03,1995,"6.02",190,"C","Peterborough Petes",7,1,1,2,0.29,2,0,0,0,0,0,0,0,0,2,1
"Kevin Spinozzi","NO",24,1996-05-23,1996,"6.02",204,"D","Sarnia Sting",7,1,1,2,0.29,-2,1,0,1,0,0,0,0,0,6,1
"Jacob Ball","YES",20,1999-01-16,1999,"6.03",200,"LW","North Bay Battalion",11,1,1,2,0.18,-6,0,0,0,0,0,0,1,0,5,1
"Giordano Finoro","YES",11,1998-05-17,1998,"6.00",205,"C","Barrie Colts",15,1,1,2,0.13,-1,0,0,0,0,0,0,1,0,0,1
"William Lochead","YES",17,1998-03-30,1998,"6.00",201,"D","Niagara IceDogs",17,1,1,2,0.12,6,0,0,0,0,0,0,0,0,20,1
"Marcus Crawford","NO",5,1997-03-21,1997,"5.11",190,"D","Saginaw Spirit",4,0,2,2,0.5,-5,0,0,0,0,0,0,0,0,0,1
"Dmitrii Sergeev","NO",81,1996-03-26,1996,"6.02",207,"D","Kitchener Rangers",4,0,2,2,0.5,-1,0,0,0,0,0,0,0,0,5,1
"Ben Fanjoy","NO",8,1997-05-10,1997,"6.02",184,"C","Ottawa 67's",5,0,2,2,0.4,-1,0,0,0,0,0,0,0,0,0,1
"Kenny Huether","NO",25,1997-08-06,1997,"5.10",177,"RW","Oshawa Generals",5,0,2,2,0.4,-1,0,0,0,0,0,0,0,0,2,1
"Jacob Middleton","NO",21,1996-01-02,1996,"6.03",212,"D","Ottawa 67's",5,0,2,2,0.4,-3,0,1,1,0,0,0,0,0,2,1
"Nicolas Hague","YES",41,1998-12-05,1998,"6.05",216,"D","Mississauga Steelheads",7,0,2,2,0.29,2,0,1,1,0,0,0,0,0,13,1
"Kyle Jenkins","NO",6,1996-04-22,1996,"6.01",171,"D","Peterborough Petes",7,0,2,2,0.29,5,0,1,1,0,0,0,0,0,6,1
"Jeff King","NO",4,1996-02-23,1996,"5.11",171,"D","Sarnia Sting",7,0,2,2,0.29,-3,0,0,0,0,0,0,0,0,4,1
"Ryan McLeod","YES",10,1999-09-21,1999,"6.03",205,"C","Mississauga Steelheads",7,0,2,2,0.29,1,0,0,0,0,0,0,0,0,2,1
"Matthew Timms","NO",4,1998-05-12,1998,"5.09",180,"D","Peterborough Petes",7,0,2,2,0.29,1,0,1,1,0,0,0,0,0,0,1
"Chad Duchesne","NO",4,1995-05-31,1995,"5.11",179,"D","Kingston Frontenacs",9,0,2,2,0.22,2,0,0,0,0,1,1,0,0,4,1
"Liam Murray","NO",5,1997-06-28,1997,"6.00",206,"D","Kingston Frontenacs",9,0,2,2,0.22,7,0,0,0,0,0,0,0,0,10,1
"Jacob Paquette","YES",6,1999-05-26,1999,"6.03",215,"D","Kingston Frontenacs",9,0,2,2,0.22,0,0,0,0,0,1,1,0,0,4,1
"Evan Bouchard","YES",2,1999-10-20,1999,"6.02",198,"D","London Knights",10,0,2,2,0.2,3,0,2,2,0,0,0,0,0,2,1
"Daniil Vertiy","NO",23,1998-11-12,1998,"5.11",205,"LW","North Bay Battalion",11,0,2,2,0.18,-5,0,1,1,0,0,0,0,0,4,1
"Liam Hawel","YES",22,1999-04-18,1999,"6.04",195,"C","Sault Ste. Marie Greyhounds",12,0,2,2,0.17,1,0,0,0,0,0,0,0,0,2,1
"Tyler Hore","NO",8,1995-10-25,1995,"6.03",215,"D","Sault Ste. Marie Greyhounds",12,0,2,2,0.17,0,0,0,0,0,0,0,0,0,6,1
"TJ Fergus","NO",25,1997-03-25,1997,"5.11",186,"D","Erie Otters",13,0,2,2,0.15,-5,0,0,0,0,0,0,0,0,2,1
"Keigan Goetz","NO",13,1996-09-07,1996,"6.01",213,"RW","Barrie Colts",13,0,2,2,0.15,-3,0,0,0,0,0,0,0,0,7,1
"Ben Hawerchuk","NO",16,1998-03-27,1998,"5.11",186,"LW","Barrie Colts",15,0,2,2,0.13,-3,0,0,0,0,0,0,0,0,13,1
"Kody Gagnon","NO",4,1997-01-02,1997,"6.03",215,"D","Barrie Colts",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Johnathon Schaefer","YES",7,1998-04-04,1998,"5.09",180,"D","Niagara IceDogs",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Brett Hargrave","NO",10,1996-01-16,1996,"6.03",212,"C","North Bay Battalion",2,1,0,1,0.5,1,0,0,0,0,0,0,1,0,0,1
