"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Marc Cantin",1990-03-27,"D","Mississauga St. Michaels Majors",61,0,2,2,0.03,5
"Matt Petgrave",1992-01-29,"D","Owen Sound Attack",61,0,2,2,0.03,5
"Nathan Chiarlitti",1992-02-04,"D","Sarnia Sting",65,0,2,2,0.03,11
"Steven Shipley",1992-04-22,"C","Niagara IceDogs",65,0,2,2,0.03,4
"Alex Galchenyuk",1994-02-12,"C","Sarnia Sting",68,1,0,1,0.01,1
"Andy Bathgate",1991-02-26,"C","Belleville Bulls",64,1,0,1,0.02,2
"Anthony Camara",1993-09-04,"LW","Saginaw Spirit",64,1,0,1,0.02,6
"Austin Levi",1992-02-16,"D","Plymouth Whalers",66,1,0,1,0.02,4
"Carter Sandlak",1993-05-18,"LW","Belleville Bulls",56,1,0,1,0.02,4
"Chris DeSousa",1990-10-19,"LW","Mississauga St. Michaels Majors",61,1,0,1,0.02,2
"Colin Miller",1992-10-29,"D","Sault Ste. Marie Greyhounds",66,1,0,1,0.02,5
"Corey Bureau",1991-04-23,"RW","Mississauga St. Michaels Majors",55,1,0,1,0.02,6
"David Corrente",1991-05-03,"D","Mississauga St. Michaels Majors",57,1,0,1,0.02,7
"David Quesnele",1992-06-12,"LW","Sault Ste. Marie Greyhounds",63,1,0,1,0.02,5
"Derek Lanoue",1991-04-05,"RW","Windsor Spitfires",55,1,0,1,0.02,6
"Dominic DeSando",1990-10-15,"C","Sault Ste. Marie Greyhounds",10,1,0,1,0.1,50
"Dylan MacEachern",1990-04-03,"LW","London Knights",68,1,0,1,0.01,7
"Gabriel Landeskog",1992-11-23,"RW","Kitchener Rangers",53,1,0,1,0.02,2
"Jack Walchessen",1990-04-11,"RW","Peterborough Petes",63,1,0,1,0.02,5
"Jake Carrick",1990-09-11,"RW","Windsor Spitfires",58,1,0,1,0.02,2
"Jeff Brown",1990-06-02,"RW","Windsor Spitfires",56,1,0,1,0.02,3
"Joseph Cramarossa",1992-10-26,"C","Mississauga St. Michaels Majors",59,1,0,1,0.02,3
"Justin Sefton",1993-04-14,"D","Sudbury Wolves",66,1,0,1,0.02,9
"Mark Scheifele",1993-03-15,"C","Barrie Colts",66,1,0,1,0.02,1
"Michael Catenacci",1991-02-12,"C","Kitchener Rangers",58,1,0,1,0.02,2
"Michael Farrell",1990-04-23,"RW","Kingston Frontenacs",17,1,0,1,0.06,12
"Micky Sartoretto",1991-03-07,"RW","Saginaw Spirit",58,1,0,1,0.02,17
"Mitchell Bursey",1993-04-24,"D","Barrie Colts",30,1,0,1,0.03,50
"Myles Doan",1992-05-18,"LW","Niagara IceDogs",68,1,0,1,0.01,5
"Nathan Moon",1990-01-04,"C","Kingston Frontenacs",65,1,0,1,0.02,1
"Richard Panik",1991-02-07,"RW","Guelph Storm",51,1,0,1,0.02,2
"Rickard Rakell",1993-05-05,"C","Plymouth Whalers",49,1,0,1,0.02,2
"Riley Brace",1992-03-07,"LW","Mississauga St. Michaels Majors",58,1,0,1,0.02,3
"Ryan Lopes",1991-02-25,"C","Kitchener Rangers",57,1,0,1,0.02,17
"Stefan Noesen",1993-02-12,"RW","Plymouth Whalers",68,1,0,1,0.01,1
"Tom Kuhnhackl",1992-01-21,"LW","Windsor Spitfires",63,1,0,1,0.02,1
"Tyler Carroll",1990-02-10,"LW","Guelph Storm",56,1,0,1,0.02,3
"Zach Bell",1993-02-13,"D","Brampton Battalion",63,1,0,1,0.02,8
"Adam Pelech",1994-08-16,"D","Erie Otters",65,0,1,1,0.02,7
"Alan Quine",1993-02-25,"C","Peterborough Petes",69,0,1,1,0.01,2
"Andrew Fritsch",1993-03-24,"LW","Owen Sound Attack",60,0,1,1,0.02,2
"Brad Walch",1991-01-24,"D","Saginaw Spirit",68,0,1,1,0.01,4
"Brett Cook",1991-03-21,"D","Erie Otters",61,0,1,1,0.02,5
"Chris Doyle",1990-03-22,"C","Mississauga St. Michaels Majors",20,0,1,1,0.05,7
"Cody Ceci",1993-12-21,"D","Ottawa 67's",68,0,1,1,0.01,3
"Cody Lindsay",1990-05-29,"C","Ottawa 67's",65,0,1,1,0.02,2
"Colin Martin",1991-06-12,"LW","London Knights",65,0,1,1,0.02,2
"Corey Durocher",1992-05-30,"LW","Kingston Frontenacs",63,0,1,1,0.02,3
"Daniel Maggio",1991-03-04,"D","Oshawa Generals",44,0,1,1,0.02,7
"David Pacan",1991-03-31,"RW","Niagara IceDogs",65,0,1,1,0.02,2
"Derek Hartwick",1992-04-12,"D","Sault Ste. Marie Greyhounds",68,0,1,1,0.01,6
"Dougie Hamilton",1993-06-17,"D","Niagara IceDogs",67,0,1,1,0.01,2
"Garret Ross",1992-05-26,"LW","Saginaw Spirit",53,0,1,1,0.02,7
"Geoff Bezruchko",1993-02-28,"C","Peterborough Petes",56,0,1,1,0.02,17
"Jack Kuzmyk",1993-09-28,"D","Sarnia Sting",41,0,1,1,0.02,17
"Jeff Braithwaite",1992-03-02,"D","Kingston Frontenacs",46,0,1,1,0.02,6
"Joe Rogalski",1991-11-29,"D","Sarnia Sting",63,0,1,1,0.02,3
"John Padulo",1992-05-06,"C","Barrie Colts",64,0,1,1,0.02,5
"Jonathan Jasper",1991-10-07,"D","Kitchener Rangers",62,0,1,1,0.02,9
"Joshua Leivo",1993-05-26,"LW","Sudbury Wolves",64,0,1,1,0.02,3
