"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Rafael Rotter",1987-06-14,"C","Guelph Storm",15,0,0,0,0,0
"Robbie Lawrance",1986-05-04,"D","Ottawa 67's",6,0,0,0,0,NA
"Ryan Berard",1987-04-08,"RW","Saginaw Spirit",4,0,0,0,0,NA
"Ryan Crouch",1988-01-11,"D","Sudbury Wolves",6,0,0,0,0,NA
"Ryan Donally",1985-02-04,"LW","Sudbury Wolves",10,0,0,0,0,0
"Ryan Garlock",1986-04-24,"C","Windsor Spitfires",7,0,0,0,0,0
"Ryan Hamilton",1985-04-15,"LW","Barrie Colts",14,0,0,0,0,0
"Ryan Kitchen",1985-02-06,"RW","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Ryan Martinelli",1986-09-02,"D","London Knights",19,0,0,0,0,0
"Ryan McDonough",1988-01-02,"C","Saginaw Spirit",4,0,0,0,0,0
"Ryan Parent",1987-03-17,"D","Guelph Storm",15,0,0,0,0,0
"Ryan Pottruff",1986-07-11,"D","Guelph Storm",14,0,0,0,0,0
"Ryan Stephenson",1986-04-09,"LW","Plymouth Whalers",6,0,0,0,0,NA
"Ryan Wilson",1987-02-03,"D","Toronto St. Michael's Majors",4,0,0,0,0,0
"Scott Aarssen",1988-05-10,"D","London Knights",19,0,0,0,0,0
"Scott Baker",1987-05-15,"LW","Belleville Bulls",6,0,0,0,0,0
"Scott Cowie",1988-05-05,"C","Peterborough Petes",19,0,0,0,0,0
"Scott Fletcher",1988-01-12,"D","Saginaw Spirit",4,0,0,0,0,NA
"Scott Lehman",1986-01-05,"D","Toronto St. Michael's Majors",4,0,0,0,0,0
"Scott Restoule",1987-06-13,"C","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Sean Ryan",1988-02-27,"D","Ottawa 67's",6,0,0,0,0,NA
"Shawn Connors",1988-06-30,"D","Kingston Frontenacs",6,0,0,0,0,NA
"Shawn Haviland",1987-01-09,"D","Guelph Storm",13,0,0,0,0,NA
"Shea Kewin",1988-02-25,"RW","Ottawa 67's",6,0,0,0,0,0
"Steve Downie",1987-04-03,"C","Peterborough Petes",19,0,0,0,0,0
"Steve Spade",1987-12-10,"D","Toronto St. Michael's Majors",4,0,0,0,0,NA
"Steve Ward",1986-02-13,"D","Plymouth Whalers",13,0,0,0,0,0
"Steve Whitely",1987-07-16,"D","Belleville Bulls",6,0,0,0,0,NA
"Taylor Raszka",1986-10-22,"LW","Brampton Battalion",11,0,0,0,0,0
"Thomas Kiriakou",1988-01-24,"C","Ottawa 67's",6,0,0,0,0,0
"Tibor Radulay",1988-01-06,"LW","Ottawa 67's",5,0,0,0,0,NA
"Tim Priamo",1988-04-07,"LW","Saginaw Spirit",3,0,0,0,0,NA
"Todd Griffith",1985-01-27,"LW","Kingston Frontenacs",6,0,0,0,0,0
"Todd Perry",1986-12-13,"D","Barrie Colts",14,0,0,0,0,0
"Tom Craig",1989-03-09,"C","Saginaw Spirit",2,0,0,0,0,NA
