"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Charlie Paquette","NO",23,2005-12-06,2005,"6.02",207,"RW","Guelph Storm",2,2,2,4,2,4,1,0,1,0,0,0,0,1,0,1
"Callum Croskery","YES",14,2008-01-29,2008,"6.01",182,"D","Soo Greyhounds",3,2,2,4,1.33,4,1,1,2,0,0,0,0,0,4,1
"Brady Smith","NO",11,2008-04-13,2008,"6.00",190,"RW","Soo Greyhounds",3,2,2,4,1.33,2,0,0,0,0,0,0,0,0,0,1
"Jacob Therrien","NO",6,2006-02-08,2006,"5.08",165,"RW","Owen Sound Attack",3,2,2,4,1.33,3,0,0,0,0,0,0,0,0,15,1
"Christopher Brown","NO",28,2006-01-27,2006,"5.11",183,"C","Soo Greyhounds",4,2,2,4,1,-3,1,1,2,0,0,0,1,0,0,1
"David Buchman","YES",2,2009-07-01,2009,"5.11",182,"D","Brantford Bulldogs",4,2,2,4,1,4,0,1,1,0,0,0,1,0,2,1
"Justin Bottineau","NO",11,2006-01-11,2006,"6.00",168,"RW","Brampton Steelheads",5,2,2,4,0.8,3,1,0,1,0,0,0,1,0,6,1
"Blake Clayton","NO",19,2007-10-23,2007,"6.01",175,"C","Sudbury Wolves",5,2,2,4,0.8,3,0,0,0,0,1,1,0,1,0,1
"Michael Dec","NO",15,2007-01-29,2007,"5.10",161,"RW","Owen Sound Attack",5,2,2,4,0.8,4,1,0,1,0,0,0,1,0,2,1
"Evan Headrick","NO",81,2008-01-08,2008,"5.08",171,"RW","Kitchener Rangers",5,2,2,4,0.8,3,1,0,1,0,0,0,0,0,6,1
"Rowan Henderson","NO",77,2007-12-10,2007,"6.00",183,"LW","Sudbury Wolves",5,2,2,4,0.8,2,0,0,0,1,0,1,0,0,0,1
"Jalen Lobo","YES",34,2008-02-09,2008,"6.01",184,"LW","Oshawa Generals",5,2,2,4,0.8,0,1,1,2,0,0,0,0,0,0,1
"Sam Roberts","YES",71,2009-05-21,2009,"6.01",186,"RW","Oshawa Generals",5,2,2,4,0.8,-4,1,2,3,0,0,0,0,0,8,1
"Brandt Harper","NO",6,2006-07-20,2006,"5.11",192,"D","North Bay Battalion",6,2,2,4,0.67,1,1,0,1,0,0,0,0,0,4,1
"Ethan Miedema","NO",15,2005-03-22,2005,"6.04",212,"LW","Guelph Storm",2,1,3,4,2,4,0,0,0,0,0,0,0,0,0,1
"Alex Assadourian","NO",9,2005-07-24,2005,"5.10",181,"RW","Barrie Colts",3,1,3,4,1.33,2,0,1,1,1,0,1,1,0,2,1
"Simon Belohorsky","YES",89,2008-10-18,2008,"6.01",175,"LW","Guelph Storm",3,1,3,4,1.33,2,0,0,0,0,0,0,0,0,0,1
"Braydon McCallum","NO",29,2006-05-03,2006,"5.10",192,"C","Peterborough Petes",3,1,3,4,1.33,0,0,2,2,0,0,0,0,0,0,1
"Patrick Babin","YES",7,2008-01-30,2008,"5.11",188,"D","Brantford Bulldogs",4,1,3,4,1,3,0,2,2,0,0,0,0,0,2,1
"Caleb Malhotra","NO",17,2008-06-02,2008,"6.02",182,"C","Brantford Bulldogs",4,1,3,4,1,5,0,0,0,0,0,0,0,0,2,1
"Matthew Manza","NO",55,2007-09-22,2007,"6.00",178,"RW","Sarnia Sting",4,1,3,4,1,-2,1,1,2,0,0,0,0,0,0,1
"Blake Munnings","NO",28,2009-01-23,2009,"6.00",193,"LD","Owen Sound Attack",4,1,3,4,1,7,0,0,0,0,0,0,0,0,0,1
"Leo Serlin","NO",20,2006-01-20,2006,"6.00",190,"RW","Guelph Storm",4,1,3,4,1,1,0,1,1,0,0,0,1,0,0,1
"Teague Vader","NO",4,2007-08-23,2007,"6.00",192,"D","Barrie Colts",6,1,3,4,0.67,2,1,0,1,0,0,0,0,0,2,1
"Ryerson Edgar","YES",17,2009-07-30,2009,"5.10",165,"C","Niagara IceDogs",4,0,4,4,1,0,0,1,1,0,0,0,0,0,2,1
"Yanis Lutz","NO",14,2008-05-11,2008,"5.11",160,"LW","Peterborough Petes",4,0,4,4,1,0,0,3,3,0,0,0,0,0,6,1
"Cameron Arquette","NO",11,2007-04-27,2007,"5.08",170,"RW","Kitchener Rangers",5,0,4,4,0.8,-1,0,1,1,0,1,1,0,0,0,1
"Jacob Xu","YES",96,2008-03-13,2008,"6.02",195,"LD","Kitchener Rangers",5,0,4,4,0.8,-2,0,1,1,0,0,0,0,0,0,1
"Vladimir Provorov","NO",97,2008-02-09,2008,"5.11",172,"C","Sudbury Wolves",4,3,0,3,0.75,0,0,0,0,0,0,0,1,0,2,1
"Christopher Thibodeau","NO",9,2005-10-13,2005,"5.10",170,"RW","Flint Firebirds",4,3,0,3,0.75,2,0,0,0,0,0,0,0,0,8,1
"Liam Storch","NO",21,2006-01-20,2006,"5.09",160,"RW","Saginaw Spirit",5,3,0,3,0.6,0,0,0,0,2,0,2,0,1,7,1
"Jan Chovan","NO",26,2007-01-09,2007,"6.03",198,"RW","Sudbury Wolves",2,2,1,3,1.5,1,0,0,0,0,0,0,0,0,0,1
"Christian Humphreys","NO",48,2006-02-04,2006,"5.11",170,"C","Kitchener Rangers",2,2,1,3,1.5,-2,1,1,2,0,0,0,0,0,4,1
"Calvin Crombie","NO",14,2005-09-03,2005,"6.00",195,"RW","Barrie Colts",3,2,1,3,1,2,0,0,0,0,1,1,0,1,15,1
"Ivan Galiyanov","NO",92,2007-10-16,2007,"5.10",179,"LW","Niagara IceDogs",3,2,1,3,1,0,0,0,0,0,0,0,0,1,6,1
"Landon Wright","NO",9,2006-01-17,2006,"5.11",190,"RW","Kingston Frontenacs",3,2,1,3,1,1,0,0,0,0,0,0,1,0,0,1
"Nathan Amidovski","NO",26,2008-04-06,2008,"6.02",184,"LW","Ottawa 67's",4,2,1,3,0.75,5,0,1,1,0,0,0,0,0,2,1
"Max Brocklehurst","YES",42,2008-12-30,2008,"5.09",170,"RW","Windsor Spitfires",4,2,1,3,0.75,-2,0,0,0,0,0,0,0,0,2,1
"Brock Chitaroni","YES",17,2009-01-27,2009,"6.00",188,"C","Ottawa 67's",4,2,1,3,0.75,4,0,0,0,0,0,0,0,0,2,1
"Andrew Kuzma","NO",19,2005-01-29,2005,"6.00",199,"C","Kingston Frontenacs",4,2,1,3,0.75,-3,1,1,2,0,0,0,1,0,2,1
"Beksultan Makysh","NO",80,2008-05-24,2008,"5.09",170,"LW","Windsor Spitfires",4,2,1,3,0.75,0,0,0,0,0,0,0,1,1,0,1
"Tomas Pobezal","NO",10,2006-09-18,2006,"5.11",182,"C","Kingston Frontenacs",4,2,1,3,0.75,1,0,0,0,0,0,0,0,0,12,1
"Andrew Robinson","NO",27,2008-01-08,2008,"6.00",200,"D","Windsor Spitfires",4,2,1,3,0.75,3,1,0,1,0,0,0,0,0,2,1
"Mclean Agrette","NO",92,2007-11-23,2007,"5.08",167,"LW","Erie Otters",5,2,1,3,0.6,-1,0,1,1,0,0,0,0,0,0,1
"Porter Byrd-Leitner","NO",13,2006-01-03,2006,"5.11",178,"LW","Oshawa Generals",6,2,1,3,0.5,0,0,0,0,0,0,0,0,0,2,1
"Ryder Carey","NO",11,2008-08-02,2008,"6.01",199,"C","North Bay Battalion",6,2,1,3,0.5,-7,0,1,1,0,0,0,0,1,0,1
"William Schneid","NO",11,2007-05-10,2007,"6.01",203,"RW","Barrie Colts",6,2,1,3,0.5,-2,0,0,0,0,0,0,1,0,0,1
