"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Jonas Gulbrandsen","NO",2008-10-14,"6.06",220,"C","Sarnia Sting",2,0,1,1,0.5,0,0,0,0,0,0,0
"Kade Meyer","NO",2008-11-05,"5.08",190,"D","Saginaw Spirit",2,0,1,1,0.5,1,0,0,0,0,0,5
"Matthew Perreault","NO",2009-07-28,"6.00",178,"D","Peterborough Petes",3,0,1,1,0.33,-1,0,1,1,0,0,2
"Norman Greene","YES",2009-02-02,"6.01",183,"RW","Sudbury Wolves",2,0,1,1,0.5,0,0,0,0,0,0,0
"Oskar Konobelj","YES",2009-05-29,"6.04",192,"D","North Bay Battalion",3,0,1,1,0.33,2,0,0,0,0,0,14
"Parker Smith","YES",2009-04-17,"5.09",175,"LW","Sudbury Wolves",2,0,1,1,0.5,1,0,0,0,0,0,0
"Peter Green","NO",2009-07-21,"6.00",173,"D","Brampton Steelheads",3,0,1,1,0.33,0,0,0,0,0,0,0
"Abe Barnett","NO",2008-09-21,"6.02",198,"D","Brantford Bulldogs",2,0,0,0,0,1,0,0,0,0,0,2
"Adam Kelly","NO",2008-09-19,"6.00",185,"RW","Kingston Frontenacs",2,0,0,0,0,-1,0,0,0,0,0,2
"Aiden Mowrey","YES",2009-07-02,"6.04",210,"D","Barrie Colts",2,0,0,0,0,0,0,0,0,0,0,0
"Alexander Lisi","YES",2009-07-03,"6.00",190,"LW","Owen Sound Attack",2,0,0,0,0,-2,0,0,0,0,0,0
"Andrew Baker","YES",2009-01-20,"6.00",173,"RW","Guelph Storm",2,0,0,0,0,-3,0,0,0,0,0,0
"Blake Munnings","YES",2009-01-23,"6.00",193,"LD","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0,0
"Brenner Lammens","NO",2009-09-13,"6.01",195,"C","Sarnia Sting",2,0,0,0,0,-1,0,0,0,0,0,2
"Brock Chitaroni","NO",2009-01-27,"6.00",188,"RW","Ottawa 67's",1,0,0,0,0,-3,0,0,0,0,0,0
"Caden Bell","YES",2009-01-15,"5.11",170,"D","Owen Sound Attack",2,0,0,0,0,-1,0,0,0,0,0,0
"Carter Beauchesne","YES",2009-02-09,"6.00",185,"LW","Flint Firebirds",1,0,0,0,0,0,0,0,0,0,0,0
"Carter Kucher","NO",2008-12-14,"6.04",212,"D","Guelph Storm",2,0,0,0,0,-3,0,0,0,0,0,0
"Carter Lewandowski","YES",2009-06-02,"6.03",186,"C","Niagara IceDogs",2,0,0,0,0,0,0,0,0,0,0,0
"Charlie Murata","NO",2009-02-15,"6.00",190,"RW","Flint Firebirds",1,0,0,0,0,-1,0,0,0,0,0,0
"Charlie Sullivan","YES",2009-03-21,"6.02",184,"D","Guelph Storm",2,0,0,0,0,-1,0,0,0,0,0,2
"Chase Sewell","NO",2009-09-09,"6.05",201,"D","Sarnia Sting",1,0,0,0,0,-1,0,0,0,0,0,0
"Cody Costello","NO",2009-04-22,"6.02",179,"LD","Oshawa Generals",2,0,0,0,0,3,0,0,0,0,0,2
"Drew Roscoe","NO",2009-03-05,"6.08",205,"D","Saginaw Spirit",2,0,0,0,0,-2,0,0,0,0,0,0
"Evan Nicholson","YES",2009-04-01,"5.10",173,"LW","Kitchener Rangers",1,0,0,0,0,0,0,0,0,0,0,0
"Gavin Christie","YES",2009-04-13,"6.02",181,"D","Kingston Frontenacs",2,0,0,0,0,2,0,0,0,0,0,0
"Gensen Geldart","NO",2009-05-05,"6.02",180,"C","Saginaw Spirit",2,0,0,0,0,-2,0,0,0,0,0,0
"Grant Yingst","YES",2009-01-18,"6.01",208,"RW","Oshawa Generals",2,0,0,0,0,0,0,0,0,0,0,0
"Hudson Leenders","YES",2009-02-01,"6.01",185,"LW","Saginaw Spirit",1,0,0,0,0,-1,0,0,0,0,0,0
"Ian Inskip","YES",2009-02-05,"6.02",195,"LW","Windsor Spitfires",2,0,0,0,0,0,0,0,0,0,0,0
"Ian Robinson","NO",2008-10-07,"6.03",191,"C","Kitchener Rangers",2,0,0,0,0,0,0,0,0,0,0,2
"Jaakko Wycisk","YES",2009-03-16,"6.02",206,"C","Guelph Storm",2,0,0,0,0,-2,0,0,0,0,0,0
"Jack Johnson","YES",2009-04-21,"6.03",198,"D","Ottawa 67's",1,0,0,0,0,0,0,0,0,0,0,0
"Jacob Lukes","NO",2009-05-22,"6.00",175,"C","Kitchener Rangers",1,0,0,0,0,1,0,0,0,0,0,0
"Jeremy Freeman","NO",2009-07-07,"5.09",178,"LW","Brantford Bulldogs",2,0,0,0,0,-1,0,0,0,0,0,0
"Jesse Debruyn","YES",2009-02-03,"6.00",196,"D","Windsor Spitfires",2,0,0,0,0,-1,0,0,0,0,0,0
"Jonah McCormick","NO",2008-10-08,"6.02",200,"LW","Barrie Colts",2,0,0,0,0,-1,0,0,0,0,0,2
"Kaden Aucoin","NO",2009-08-14,"6.02",185,"D","Sarnia Sting",2,0,0,0,0,-1,0,0,0,0,0,2
"Kohyn Eshkawkogan","NO",2008-11-19,"5.10",179,"D","Ottawa 67's",1,0,0,0,0,-1,0,0,0,0,0,0
"Lachlan Larmand","YES",2009-03-25,"6.00",180,"RW","Brampton Steelheads",1,0,0,0,0,-1,0,0,0,0,0,2
"Lincoln Edwards","YES",2009-09-12,"5.10",172,"LW","North Bay Battalion",2,0,0,0,0,-2,0,0,0,0,0,0
"Logan Massimi","YES",2009-01-05,"6.00",174,"RD","Kitchener Rangers",2,0,0,0,0,1,0,0,0,0,0,0
"Luca Santala","YES",2009-07-28,"6.03",195,"C","London Knights",1,0,0,0,0,-1,0,0,0,0,0,0
