"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"Colby Coombe",2009-12-15,"LW","Ottawa 67's",1,0,1,1,1,1,0,0,0,0,0
"Cole Mazzoni",2009-05-12,"LW","Oshawa Generals",2,0,1,1,0.5,1,0,0,0,0,0
"Dmitry Savin",2009-04-14,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,0,0,0,0
"Kash Kwajah",2010-09-10,"C","Sudbury Wolves",2,0,1,1,0.5,2,0,0,0,0,0
"Max Lappan",2010-03-17,"D","Niagara IceDogs",2,0,1,1,0.5,1,0,0,0,0,7
"Norman Greene",2009-02-02,"RW","Sudbury Wolves",2,0,1,1,0.5,0,0,0,0,0,0
"Oskar Konobelj",2009-05-29,"D","North Bay Battalion",3,0,1,1,0.33,3,0,0,0,0,14
"Parker Smith",2009-04-17,"LW","Sudbury Wolves",2,0,1,1,0.5,1,0,0,0,0,0
"Aiden Mowrey",2009-07-02,"D","Barrie Colts",2,0,0,0,0,0,0,0,0,0,0
"Alexander Lisi",2009-07-03,"LW","Owen Sound Attack",2,0,0,0,0,-2,0,0,0,0,0
"Alexandre Saulnier",2010-04-16,"C","North Bay Battalion",3,0,0,0,0,-4,0,0,0,0,0
"Andrew Baker",2009-01-20,"RW","Guelph Storm",2,0,0,0,0,-3,0,0,0,0,0
"Blake Munnings",2009-01-23,"LD","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0
"Caden Bell",2009-01-15,"D","Owen Sound Attack",2,0,0,0,0,-1,0,0,0,0,0
"Carter Beauchesne",2009-02-09,"LW","Flint Firebirds",1,0,0,0,0,0,0,0,0,0,0
"Carter Lewandowski",2009-06-02,"C","Niagara IceDogs",2,0,0,0,0,0,0,0,0,0,0
"Charlie Sullivan",2009-03-21,"D","Guelph Storm",2,0,0,0,0,-1,0,0,0,0,2
"Declan McNally",2010-09-28,"D","Barrie Colts",2,0,0,0,0,-2,0,0,0,0,0
"Easton Poe",2008-03-06,"D","North Bay Battalion",3,0,0,0,0,-2,0,0,0,0,4
"Evan Nicholson",2009-04-01,"LW","Kitchener Rangers",1,0,0,0,0,0,0,0,0,0,0
"Finn Merrill",2010-07-12,"RW","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0
"Gavin Christie",2009-04-13,"D","Kingston Frontenacs",2,0,0,0,0,2,0,0,0,0,0
"Grant Yingst",2009-01-18,"RW","Oshawa Generals",2,0,0,0,0,0,0,0,0,0,0
"Hudson Leenders",2009-02-01,"LW","Saginaw Spirit",1,0,0,0,0,-1,0,0,0,0,0
"Ian Inskip",2009-02-05,"LW","Windsor Spitfires",2,0,0,0,0,0,0,0,0,0,0
"Jaakko Wycisk",2009-03-16,"C","Guelph Storm",2,0,0,0,0,-2,0,0,0,0,0
"Jace Voortman",2010-08-12,"LW","Owen Sound Attack",2,0,0,0,0,-2,0,0,0,0,2
"Jack Johnson",2009-04-21,"D","Ottawa 67's",1,0,0,0,0,0,0,0,0,0,0
"Jaden Licastro",2010-03-02,"D","Soo Greyhounds",2,0,0,0,0,0,0,0,0,0,0
"Jay Nimchonok",2010-09-30,"RD","Brampton Steelheads",3,0,0,0,0,-5,0,0,0,0,0
"Jesse Debruyn",2009-02-03,"D","Windsor Spitfires",2,0,0,0,0,-1,0,0,0,0,0
"Jiří Gombár",2009-10-15,"LD","Kitchener Rangers",2,0,0,0,0,0,0,0,0,0,0
