"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"George Komadoski","NO",2,2008-08-03,2008,"6.04",210,"D","Brantford Bulldogs",2,0,2,2,1,2,0,0,0,0,0,0,0,0,7,1
"Leo Laschon","NO",86,2008-03-19,2008,"6.02",198,"LD","Oshawa Generals",2,0,2,2,1,4,0,0,0,0,0,0,0,0,0,1
"Yanis Lutz","NO",44,2008-05-11,2008,"5.11",160,"C","Peterborough Petes",2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"Camden McCuaig","NO",20,2008-06-19,2008,"6.02",195,"LW","Brantford Bulldogs",2,0,2,2,1,2,0,1,1,0,0,0,0,0,0,1
"Kaden McGregor","NO",16,2009-01-30,2009,"5.11",180,"C","Brantford Bulldogs",2,0,2,2,1,1,0,1,1,0,0,0,0,0,2,1
"Quinn McKenzie","NO",24,2007-11-28,2007,"5.09",171,"C","Soo Greyhounds",2,0,2,2,1,1,0,0,0,0,0,0,0,0,2,1
"John McLaughlin","NO",17,2009-08-14,2009,"6.00",185,"C","Windsor Spitfires",2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"Caleb Mitchell","NO",77,2008-03-17,2008,"6.00",180,"D","London Knights",2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1
"Adam Nemec","YES",23,2009-07-28,2009,"6.01",175,"LW","Brantford Bulldogs",2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"Tomas Pobezal","NO",10,2006-09-18,2006,"5.11",182,"C","Kingston Frontenacs",2,0,2,2,1,2,0,0,0,0,0,0,0,0,10,1
"Vladimir Provorov","NO",97,2008-02-09,2008,"5.11",172,"C","Sudbury Wolves",2,0,2,2,1,1,0,1,1,0,0,0,0,0,2,1
"Sam Roberts","NO",71,2009-05-21,2009,"6.01",186,"RW","Oshawa Generals",2,0,2,2,1,1,0,1,1,0,0,0,0,0,0,1
"Matej Stankoven","NO",97,2008-02-28,2008,"6.00",185,"C","Brampton Steelheads",2,0,2,2,1,2,0,0,0,0,0,0,0,0,0,1
"Mason Walker","NO",86,2008-11-26,2008,"5.11",169,"LW","Sudbury Wolves",2,0,2,2,1,0,0,1,1,0,0,0,0,0,2,1
"Darian Anderson","NO",22,2006-12-22,2006,"6.03",205,"RW","Flint Firebirds",1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1
"Theo Avila","NO",36,2007-06-17,2007,"5.10",179,"D","Ottawa 67's",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Brady Blaseg","NO",16,2008-07-21,2008,"6.04",209,"LD","Oshawa Generals",1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,1
"Kayden Edwards","NO",13,2008-04-24,2008,"5.09",161,"LW","Erie Otters",1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,1
"Evan Headrick","NO",81,2008-01-08,2008,"5.08",171,"RW","Erie Otters",1,1,0,1,1,-1,1,0,1,0,0,0,0,0,0,1
"Simon Katolicky","NO",24,2008-07-24,2008,"6.04",205,"RW","Sarnia Sting",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Andrew Laurin","YES",9,2010-04-09,2010,"6.01",176,"RW","Ottawa 67's",1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1
"Avry Anstis","NO",9,2008-03-05,2008,"6.00",165,"RW","Kitchener Rangers",2,1,0,1,0.5,1,0,0,0,0,0,0,0,1,4,1
"Drew Bate","YES",18,2010-05-19,2010,"5.11",170,"C","Saginaw Spirit",2,1,0,1,0.5,0,1,0,1,0,0,0,0,0,2,1
"Brayden Bennett","NO",9,2009-02-05,2009,"6.00",193,"C","Sudbury Wolves",2,1,0,1,0.5,1,1,0,1,0,0,0,0,0,0,1
"Cohen Bidgood","NO",34,2007-01-11,2007,"6.01",185,"RW","London Knights",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Luca Blonda","NO",93,2008-11-25,2008,"5.10",188,"D","Sudbury Wolves",2,1,0,1,0.5,5,0,0,0,0,0,0,0,0,0,1
"Finley Butler","YES",11,2010-03-22,2010,"6.05",217,"RW","Guelph Storm",2,1,0,1,0.5,-1,0,0,0,0,0,0,0,0,0,1
"Callum Cheynowski","NO",7,2006-08-04,2006,"6.00",195,"D","Niagara IceDogs",2,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1
"Brody Cook","NO",6,2007-04-06,2007,"6.00",190,"RW","Kingston Frontenacs",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Lucas DeMiglio","NO",17,2008-10-26,2008,"6.00",165,"LW","Brampton Steelheads",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Evgeny Dubrovtsev","NO",18,2008-03-18,2008,"5.11",188,"C","North Bay Battalion",2,1,0,1,0.5,-1,1,0,1,0,0,0,0,0,2,1
"Matthew Hlacar","NO",81,2006-05-31,2006,"6.03",205,"LW","Brantford Bulldogs",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Kam Hodgson","NO",21,2008-04-02,2008,"6.00",181,"RW","North Bay Battalion",2,1,0,1,0.5,-1,0,0,0,0,0,0,0,0,0,1
"Brennan Huyck","NO",28,2008-04-30,2008,"6.05",197,"RW","Oshawa Generals",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Gordei Khotkov","YES",7,2010-03-30,2010,"6.06",220,"D","Saginaw Spirit",2,1,0,1,0.5,-2,0,0,0,0,0,0,0,0,0,1
"Nolan Laird","NO",19,2006-01-04,2006,"6.01",200,"C","North Bay Battalion",2,1,0,1,0.5,0,0,0,0,0,0,0,0,0,5,1
"Adam Levac","NO",10,2008-06-27,2008,"6.00",183,"C","Peterborough Petes",2,1,0,1,0.5,-4,1,0,1,0,0,0,0,0,0,1
"James McMurray","NO",21,2007-06-15,2007,"5.08",172,"LW","Peterborough Petes",2,1,0,1,0.5,-1,0,0,0,0,0,0,0,0,2,1
"Alex Misiak","NO",86,2007-06-22,2007,"6.01",195,"LW","Kingston Frontenacs",2,1,0,1,0.5,1,0,0,0,0,0,0,1,0,2,1
"Mark Pape","NO",23,2009-01-24,2009,"6.00",178,"LW","Oshawa Generals",2,1,0,1,0.5,2,0,0,0,0,0,0,0,0,7,1
"Ryder Roberson","NO",44,2008-02-18,2008,"6.01",216,"RW","Kitchener Rangers",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Landon Roulston","YES",35,2010-03-05,2010,"6.01",188,"C","Peterborough Petes",2,1,0,1,0.5,2,0,0,0,0,0,0,0,0,0,1
"William Schneid","NO",11,2007-05-10,2007,"6.01",203,"RW","Barrie Colts",2,1,0,1,0.5,-2,1,0,1,0,0,0,0,0,0,1
"Genc Ula","NO",88,2008-10-26,2008,"6.01",198,"D","Sudbury Wolves",2,1,0,1,0.5,0,1,0,1,0,0,0,0,0,7,1
"Patrik Ula","YES",89,2009-11-28,2009,"5.10",185,"LW","Sudbury Wolves",2,1,0,1,0.5,0,0,0,0,0,0,0,1,0,4,1
"Parker Vaughan","NO",16,2008-03-06,2008,"6.01",200,"RW","North Bay Battalion",2,1,0,1,0.5,1,0,0,0,0,0,0,1,0,11,1
"Mclean Agrette","NO",92,2007-11-23,2007,"5.08",167,"LW","Erie Otters",1,0,1,1,1,-1,0,1,1,0,0,0,0,0,0,1
"Connor Bewick","NO",23,2006-04-05,2006,"6.00",180,"D","Ottawa 67's",1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1
"Nick Bogas","NO",2,2008-07-23,2008,"6.00",195,"D","Flint Firebirds",1,0,1,1,1,0,0,1,1,0,0,0,0,0,2,1
"Spencer Bowes","NO",12,2007-09-19,2007,"6.00",177,"LW","Ottawa 67's",1,0,1,1,1,-2,0,1,1,0,0,0,0,0,2,1
"Tyler Challenger","NO",84,2008-04-13,2008,"6.02",202,"LW","Sarnia Sting",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"Jordan Charron","NO",27,2007-06-21,2007,"6.02",208,"RW","Soo Greyhounds",1,0,1,1,1,0,0,1,1,0,0,0,0,0,2,1
"Colby Coombe","YES",37,2009-12-15,2009,"6.03",210,"LW","Ottawa 67's",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"Jean-Samuel Daigneault","NO",3,2008-02-15,2008,"6.03",194,"D","Brantford Bulldogs",1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1
"Rylan Fellinger","NO",65,2007-05-16,2007,"6.04",214,"D","Flint Firebirds",1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1
"Linus Funck","NO",7,2007-05-10,2007,"6.04",206,"D","Oshawa Generals",1,0,1,1,1,2,0,0,0,0,1,1,0,0,4,1
"Anton Gesink","NO",15,2009-05-02,2009,"6.02",179,"RW","Erie Otters",1,0,1,1,1,2,0,0,0,0,0,0,0,0,2,1
"A.J. Gladman","YES",22,2009-01-19,2009,"6.06",225,"D","Erie Otters",1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
"Luka Graziano","NO",14,2007-10-24,2007,"5.10",180,"D","Flint Firebirds",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"Jonas Gulbrandsen","NO",27,2008-10-14,2008,"6.06",220,"C","Sarnia Sting",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"Matthew Manza","NO",55,2007-09-22,2007,"6.00",178,"RW","Sarnia Sting",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"Broden McArthur","YES",4,2009-02-24,2009,"5.11",190,"D","Erie Otters",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"Gairin Michalski","NO",29,2007-05-02,2007,"5.09",179,"D","Erie Otters",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"Bryson Morgan","NO",4,2008-03-20,2008,"6.00",182,"C","Flint Firebirds",1,0,1,1,1,-1,0,1,1,0,0,0,0,0,0,1
"James Paul","NO",7,2007-10-27,2007,"6.02",185,"D","Flint Firebirds",1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1
"Jax Pereira","NO",22,2009-05-06,2009,"5.11",175,"C","North Bay Battalion",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"Easton Walos","NO",11,2008-12-28,2008,"5.11",192,"C","Sarnia Sting",1,0,1,1,1,0,0,1,1,0,0,0,0,0,4,1
"Cam Warren","NO",14,2009-05-07,2009,"5.10",168,"C","North Bay Battalion",1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1
"Nic Whitehead","NO",10,2007-02-11,2007,"5.11",167,"C","Ottawa 67's",1,0,1,1,1,-2,0,1,1,0,0,0,0,0,0,1
"Nathan Amidovski","NO",29,2008-04-06,2008,"6.02",184,"LW","Brampton Steelheads",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Blake Barnes","NO",72,2006-07-31,2006,"6.01",185,"LD","Niagara IceDogs",2,0,1,1,0.5,2,0,0,0,0,0,0,0,0,2,1
"David Buchman","NO",71,2009-07-01,2009,"5.11",182,"D","Brantford Bulldogs",2,0,1,1,0.5,2,0,0,0,0,0,0,0,0,2,1
"Weston Cameron","NO",17,2008-01-01,2008,"6.04",188,"LW","Kitchener Rangers",2,0,1,1,0.5,0,0,1,1,0,0,0,0,0,2,1
"Alex Campeau","YES",96,2009-03-23,2009,"6.04",190,"C","London Knights",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Geno Carcone","NO",9,2006-11-14,2006,"5.10",193,"LW","Brampton Steelheads",2,0,1,1,0.5,-1,0,0,0,0,0,0,0,0,0,1
"Jake Crawford","NO",16,2007-05-05,2007,"6.03",190,"C","Owen Sound Attack",2,0,1,1,0.5,-1,0,1,1,0,0,0,0,0,10,1
"Max Crete","NO",23,2008-04-24,2008,"5.09",182,"LW","North Bay Battalion",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1
"Anthony Cristoforo","NO",44,2006-02-23,2006,"5.11",195,"D","Windsor Spitfires",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Aaron Enright","NO",4,2007-03-28,2007,"6.00",213,"D","North Bay Battalion",2,0,1,1,0.5,-2,0,1,1,0,0,0,0,0,4,1
"Spencer Evans","NO",16,2006-05-12,2006,"6.01",198,"D","Soo Greyhounds",2,0,1,1,0.5,-1,0,1,1,0,0,0,0,0,4,1
"Colin Fitzgerald","NO",77,2008-04-01,2008,"6.02",196,"RW","Soo Greyhounds",2,0,1,1,0.5,-1,0,1,1,0,0,0,0,0,0,1
"Alex Forrest","YES",91,2009-06-11,2009,"5.11",157,"LD","Kitchener Rangers",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Ethan Garden","NO",77,2008-04-13,2008,"5.08",178,"C","Windsor Spitfires",2,0,1,1,0.5,-2,0,0,0,0,0,0,0,0,4,1
"Norman Greene","YES",22,2009-02-02,2009,"6.01",183,"RW","Sudbury Wolves",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1
"Travis Hayes","NO",13,2007-09-03,2007,"5.11",172,"RW","Soo Greyhounds",2,0,1,1,0.5,3,0,0,0,0,0,0,0,0,2,1
