"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Zach Moore","6.02",185,"Kingston Frontenacs",1998-01-12,1,23,27,0.852,27.31,4,4.05,0,0,1,0,1,0,0,0,0
"Justin Fazio","6.01",189,"Sarnia Sting",1997-05-03,3,67,77,0.87,31.3,10,4.07,0,1,1,0,1,0,0,0,0
"Leo Lazarev","5.10",161,"Ottawa 67's",1997-07-27,2,52,61,0.852,30.5,9,4.5,0,1,1,0,1,0,0,0,0
"Riley Daniels","6.01",191,"Owen Sound Attack",1999-02-05,4,43,52,0.827,26.71,9,4.62,0,2,1,0,1,1,1,0,0
"Evan Cormier","6.03",200,"Saginaw Spirit",1997-11-06,2,35,42,0.833,28.06,7,4.68,0,0,2,0,2,0,0,0,0
"Matthew Villalta","6.04",186,"Sault Ste. Marie Greyhounds",1999-06-03,2,48,55,0.873,37.58,7,4.78,0,1,0,0,0,0,0,0,0
"Stephen Dhillon","6.05",203,"Niagara IceDogs",1998-09-14,2,58,68,0.853,34,10,5,0,1,1,0,1,1,1,0,0
"Olivier Lafreniere","6.01",195,"Ottawa 67's",1998-06-08,1,37,42,0.881,43.09,5,5.13,0,0,1,0,1,0,0,0,0
"Barrett Mundell","6.02",182,"Oshawa Generals",1999-03-08,2,41,49,0.837,33.15,8,5.41,0,1,1,0,1,0,0,0,0
"Colton Incze","6.02",210,"Niagara IceDogs",1999-01-31,2,52,63,0.825,31.5,11,5.5,0,0,2,0,2,0,0,0,0
"Anand Oberoi","6.05",196,"Erie Otters",1999-02-10,1,14,17,0.824,33.44,3,5.9,0,1,0,0,0,0,0,0,0
"Cole Ceci","6.02",173,"Hamilton Bulldogs",1998-03-04,1,21,28,0.75,28,7,7,0,0,1,0,1,0,0,0,0
"Nathan Torchia","5.10",185,"Oshawa Generals",2000-05-12,1,28,35,0.8,35,7,7,0,0,1,0,1,0,0,0,0
"Tristan Bérubé","6.00",180,"Gatineau",1999-05-22,1,12,16,0.75,39.1,4,9.78,0,0,0,0,0,0,0,0,0
