"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Luke Boka","YES",61,1999-06-12,1999,"6.00",196,"RW","Windsor Spitfires",58,3,1,4,0.07,1,1,0,1,0,0,0,0,0,37,1
"Kyle Langdon","YES",25,1998-08-26,1998,"5.11",180,"C","Niagara IceDogs",50,2,2,4,0.08,-5,0,0,0,0,0,0,1,0,31,1
"Joseph Mizzi","YES",28,1998-04-19,1998,"5.09",184,"RW","Hamilton Bulldogs",54,2,2,4,0.07,-11,0,0,0,0,0,0,0,0,22,1
"Eddie Schulz","YES",14,1998-04-19,1998,"6.01",182,"C","Peterborough Petes",61,2,2,4,0.07,-10,0,0,0,1,0,1,0,0,25,1
"Nate Schnarr","YES",16,1999-02-25,1999,"6.03",190,"C","Guelph Storm",6,1,3,4,0.67,2,0,0,0,0,0,0,1,0,0,1
"Zachary Roberts","YES",7,1999-08-04,1999,"6.00",184,"LW","Owen Sound Attack",10,1,3,4,0.4,0,0,0,0,0,0,0,0,0,6,1
"Justin Lemcke","NO",5,1997-02-13,1997,"6.02",203,"D","Hamilton Bulldogs",19,1,3,4,0.21,-12,0,1,1,0,0,0,0,0,39,1
"Matt Brassard","YES",9,1998-08-08,1998,"6.03",205,"D","Barrie Colts",28,1,3,4,0.14,10,0,0,0,0,0,0,0,0,13,1
"Haydn Hopkins","NO",42,1997-03-07,1997,"5.08",176,"C","Erie Otters",31,1,3,4,0.13,-1,0,0,0,0,0,0,0,0,14,1
"William Lochead","YES",17,1998-03-30,1998,"6.00",201,"D","Niagara IceDogs",49,1,3,4,0.08,2,0,0,0,0,0,0,1,0,41,1
"Taylor Egan","YES",4,1998-06-09,1998,"6.00",190,"D","Erie Otters",50,1,3,4,0.08,-5,0,0,0,0,0,0,1,0,17,1
"Sam Field","NO",15,1998-02-04,1998,"6.01",195,"RW","Kingston Frontenacs",37,0,4,4,0.11,-4,0,0,0,0,1,1,0,0,58,1
"Sean Allen","YES",6,1998-04-21,1998,"6.03",200,"D","Oshawa Generals",42,0,4,4,0.1,-7,0,0,0,0,0,0,0,0,77,1
"Hakon Nilsen","YES",4,1998-02-04,1998,"6.02",205,"D","Flint Firebirds",45,0,4,4,0.09,-29,0,0,0,0,0,0,0,0,6,1
"Kyle West","YES",17,1998-03-28,1998,"6.03",191,"LW","Guelph Storm",45,0,4,4,0.09,-14,0,0,0,0,0,0,0,0,31,1
"Zach Gallant","YES",11,1999-03-06,1999,"6.02",193,"C","Peterborough Petes",51,0,4,4,0.08,-16,0,0,0,0,0,0,0,0,23,1
"Marcus Dickerson","NO",12,1998-01-22,1998,"5.09",207,"RW","Mississauga Steelheads",56,3,0,3,0.05,-7,0,0,0,0,0,0,1,0,20,1
"Shaun Bily","NO",10,1998-02-22,1998,"5.10",185,"C","Erie Otters",7,2,1,3,0.43,-1,1,0,1,0,0,0,0,0,2,1
"Austin  Kosack","NO",2,1995-03-22,1995,"5.11",191,"D","North Bay Battalion",6,1,2,3,0.5,5,0,0,0,0,0,0,0,0,8,1
"Kyle Auger",NA,NA,1999-01-02,1999,"5.10",183,"","Barrie Colts",28,1,2,3,0.11,7,0,0,0,0,0,0,0,0,6,1
"Franco Sproviero","YES",26,1998-08-05,1998,"5.09",158,"D","Sarnia Sting",10,0,3,3,0.3,3,0,1,1,0,0,0,0,0,2,1
"Anthony DeMeo","YES",7,1999-06-16,1999,"6.01",191,"D","Sault Ste. Marie Greyhounds",37,0,3,3,0.08,-6,0,0,0,0,0,0,0,0,6,1
"Cole Fraser","YES",2,1999-08-23,1999,"6.02",201,"D","Peterborough Petes",50,0,3,3,0.06,-12,0,0,0,0,0,0,0,0,51,1
"Levi Tetrault","YES",2,1998-02-05,1998,"6.01",190,"D","Guelph Storm",63,0,3,3,0.05,-23,0,0,0,0,0,0,0,0,51,1
"Kody Gagnon","NO",4,1997-01-02,1997,"6.03",215,"D","Barrie Colts",17,2,0,2,0.12,0,0,0,0,0,0,0,0,0,12,1
"Brandon Bastasin","NO",5,1998-11-05,1998,"6.03",201,"D","Sudbury Wolves",32,2,0,2,0.06,-9,0,0,0,0,0,0,0,0,20,1
"Riley MacRae","YES",36,1998-03-28,1998,"6.02",198,"LW","Erie Otters",41,2,0,2,0.05,-2,0,0,0,0,0,0,1,0,12,1
"Aidan Brown","YES",23,1999-09-23,1999,"6.01",185,"RW","Barrie Colts",34,1,1,2,0.06,2,0,0,0,0,0,0,0,0,20,1
"Zack Dorval","NO",11,1998-04-20,1998,"6.00",186,"C","Kingston Frontenacs",38,1,1,2,0.05,-5,0,0,0,0,0,0,0,0,47,1
"Evan Krassey","YES",26,1998-04-01,1998,"6.03",196,"RW","Hamilton Bulldogs",44,1,1,2,0.05,-10,0,0,0,0,0,0,0,0,29,1
"C.J. Clarke","YES",12,1999-02-08,1999,"6.00",202,"RW","Peterborough Petes",53,1,1,2,0.04,-15,1,0,1,0,0,0,0,0,12,1
"Brody Morris","NO",2,1996-04-30,1996,"6.01",195,"D","Hamilton Bulldogs",60,1,1,2,0.03,-16,0,0,0,0,0,0,0,0,100,1
"Misha Moor","YES",21,1997-04-28,1997,"6.02",190,"D","Oshawa Generals",36,0,2,2,0.06,-8,0,0,0,0,0,0,0,0,21,1
"Jake Ramalho","YES",5,1998-05-25,1998,"6.02",206,"D","North Bay Battalion",37,0,2,2,0.05,-11,0,0,0,0,0,0,0,0,18,1
"Hayden Davis","YES",6,1999-07-21,1999,"6.03",210,"D","Niagara IceDogs",40,0,2,2,0.05,-8,0,0,0,0,0,0,0,0,14,1
"Aaron Dart","NO",9,1996-11-24,1996,"5.11",172,"RW","North Bay Battalion",2,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Charley Graaskamp","NO",8,1996-01-31,1996,"6.01",182,"C","Sudbury Wolves",3,1,0,1,0.33,0,0,0,0,0,0,0,0,0,0,1
"Brock Welsh","YES",14,1998-04-09,1998,"6.00",182,"RW","Oshawa Generals",13,1,0,1,0.08,-3,0,0,0,0,0,0,0,0,10,1
"Conor Ali","YES",8,1999-03-09,1999,"6.00",204,"D","Sudbury Wolves",2,0,1,1,0.5,-2,0,0,0,0,0,0,0,0,2,1
"Derrick Johnson","YES",2,1998-03-08,1998,"6.00",190,"D","Sarnia Sting",3,0,1,1,0.33,-2,0,0,0,0,0,0,0,0,2,1
"Ian McKinnon","YES",22,1998-03-05,1998,"6.02",195,"C","Peterborough Petes",5,0,1,1,0.2,0,0,0,0,0,0,0,0,0,7,1
"Brad Chenier","YES",24,1999-01-20,1999,"6.00",186,"LW","North Bay Battalion",9,0,1,1,0.11,-2,0,0,0,0,0,0,0,0,4,1
"Calvin Martin","YES",15,1999-09-16,1999,"6.00",188,"RW","Sault Ste. Marie Greyhounds",9,0,1,1,0.11,-2,0,0,0,0,0,0,0,0,0,1
"Cal Davis","YES",27,1999-03-21,1999,"6.01",165,"RW","Niagara IceDogs",17,0,1,1,0.06,-1,0,0,0,0,0,0,0,0,2,1
"Nicholas Romero","YES",26,1998-01-26,1998,"6.02",189,"RW","Sudbury Wolves",18,0,1,1,0.06,-5,0,0,0,0,0,0,0,0,30,1
"Theo Calvas","YES",14,1998-08-06,1998,"6.05",213,"D","Sault Ste. Marie Greyhounds",25,0,1,1,0.04,-1,0,0,0,0,0,0,0,0,6,1
"Jake O'Donnell","NO",22,1998-06-05,1998,"6.02",185,"D","Mississauga Steelheads",32,0,1,1,0.03,-3,0,0,0,0,0,0,0,0,23,1
"Christian Mieritz","NO",12,1997-09-30,1997,"6.01",204,"D","Guelph Storm",44,0,1,1,0.02,-13,0,0,0,0,0,0,0,0,17,1
"Austin  Kemp","NO",6,1996-09-17,1996,"5.11",187,"RW","London Knights",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
"Owen Lane","YES",14,1999-01-16,1999,"5.09",183,"LW","Sudbury Wolves",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"James Newland","NO",6,1997-07-20,1997,"6.02",210,"D","London Knights",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Frankie Pucci","NO",NA,1997-01-18,1997,"5.09",166,"LW","Sault Ste. Marie Greyhounds",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Michael Silveri","NO",27,1997-03-06,1997,"6.04",208,"LW","North Bay Battalion",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
"Justin Bean","NO",2,1996-06-25,1996,"6.01",190,"D","Mississauga Steelheads",2,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1
"Matt Bean","NO",23,1996-09-10,1996,"5.10",170,"RW","London Knights",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Shane Bulitka","YES",20,1999-07-09,1999,"5.11",184,"LW","Sudbury Wolves",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Matt Stoia","YES",4,1999-03-24,1999,"6.01",176,"D","Oshawa Generals",2,0,0,0,0,-4,0,0,0,0,0,0,0,0,2,1
"Jacob Stos","YES",16,1998-06-01,1998,"5.09",187,"LW","Sarnia Sting",2,0,0,0,0,-1,0,0,0,0,0,0,0,0,10,1
"Owen  Green","NO",9,1997-03-23,1997,"6.03",197,"LW","North Bay Battalion",3,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,1
