"Name","Height","Weight","Team","Birthdate","GP","SAV","SH","SAV%","SH%","GA","GAA","SO","W","L","OTL","TL","SOGP","SOW","SOL","PIM"
"Connor Haffner","6.04",176,"Niagara IceDogs",2009-09-04,3,100,111,0.901,44.42,11,4.4,0,1,1,0,1,1,0,1,0
"Brady Knowling","6.05",215,"Saginaw Spirit",2008-03-09,4,67,80,0.838,27.59,13,4.48,0,1,2,0,2,0,0,0,0
"Nico Armellin","5.10",154,"Barrie Colts",2007-03-26,2,66,75,0.88,37.67,9,4.52,0,1,1,0,1,1,1,0,0
"Matthew Humphries","6.04",195,"Oshawa Generals",2008-07-28,3,45,54,0.833,27.36,9,4.56,0,0,2,0,2,1,0,1,0
"Liam Edgcumbe","6.04",195,"Flint Firebirds",2008-05-06,2,41,48,0.854,31.8,7,4.64,0,0,1,0,1,0,0,0,0
"Egor Sokolov","6.02",200,"Saginaw Spirit",2010-03-16,2,37,45,0.822,27,8,4.8,0,0,2,0,2,0,0,0,2
"Stepan Shurygin","6.05",215,"Saginaw Spirit",2007-08-26,3,54,64,0.844,31.8,10,4.97,0,1,1,0,1,1,1,0,0
"Antoine Proulx","",0,"Newfoundland Regiment",NA,1,21,26,0.808,26,5,5,0,1,0,0,0,0,0,0,0
"Gavin Zepp","6.01",172,"North Bay Battalion",2009-04-27,1,19,24,0.792,24,5,5,0,1,0,0,0,0,0,0,0
"Ryerson Leenders","6.01",182,"Owen Sound Attack",2006-06-01,2,63,73,0.863,37.09,10,5.08,0,1,1,0,1,0,0,0,2
"Royden Smith","6.05",205,"Kingston Frontenacs",2009-02-06,3,33,41,0.805,26.32,8,5.14,0,1,1,0,1,0,0,0,0
"Owen Loftus","6.01",163,"North Bay Battalion",2010-04-29,2,47,58,0.81,29.23,11,5.54,0,0,2,0,2,0,0,0,0
"Colin Ellsworth","6.01",186,"Guelph Storm",2008-12-03,1,14,17,0.824,32.61,3,5.75,0,0,0,0,0,0,0,0,0
"Cole Prelusky","5'11",180,"Victoria Royals",2008-01-15,1,18,22,0.818,33,4,6,0,0,1,0,1,0,0,0,0
"Peter Chlebowski","6.02",210,"Flint Firebirds",2008-09-03,1,12,15,0.8,30.65,3,6.13,0,1,0,0,0,0,0,0,0
"Ayden Dark","6.00",160,"Guelph Storm",2010-03-05,1,16,19,0.842,40.05,3,6.32,0,0,1,0,1,0,0,0,0
"Brian Cooke","6.03",180,"London Knights",2008-04-21,5,85,102,0.833,39.17,17,6.53,0,1,1,0,1,0,0,0,0
"Vaughn Barr","5.11",178,"Erie Otters",2009-04-17,2,26,36,0.722,24.13,10,6.7,0,0,2,0,2,0,0,0,0
"Kobe Nadalin","6.03",170,"London Knights",2009-05-29,1,15,19,0.789,36.58,4,7.7,0,0,0,0,0,0,0,0,0
"Marcus Smolcic","6.00",162,"Ottawa 67's",2010-05-21,2,34,39,0.872,29.81,5,3.82,0,0,1,0,1,0,0,0,0
"Mitchell Nouwens","6.02",180,"Owen Sound Attack",2010-02-09,1,34,39,0.872,39,5,5,0,0,1,0,1,0,0,0,0
